StartTime: 2021-11-11 13:53:20.366
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 13:53:20.366	-0.1138	-1.0000	0.0239	-0.7324	-1.8311	0.3052	-88.5388	6.0315	-85.8527	36.63
0x50	 13:53:20.374	-0.1138	-1.0000	0.0239	-0.3052	-2.9907	0.0000	-88.5388	6.0370	-85.8252	36.62
0x50	 13:53:20.385	-0.0977	-1.0005	0.0259	-0.3052	-2.9907	0.0000	-88.5443	6.0370	-85.7922	36.62
0x50	 13:53:20.395	-0.0977	-1.0005	0.0259	0.0000	-3.1738	0.0000	-88.5388	6.0315	-85.7648	36.63
0x50	 13:53:20.405	-0.0977	-1.0010	0.0259	0.0000	-3.1738	0.0000	-88.5333	6.0260	-85.7318	36.63
0x50	 13:53:20.415	-0.0977	-1.0010	0.0259	-0.2441	-1.8921	0.6714	-88.5333	6.0315	-85.7098	36.64
0x50	 13:53:20.425	-0.0986	-1.0024	0.0288	-0.2441	-1.8921	0.6714	-88.5333	6.0315	-85.6934	36.64
0x50	 13:53:20.435	-0.0986	-1.0024	0.0288	-0.3052	-1.5869	0.9155	-88.5333	6.0370	-85.6769	36.64
0x50	 13:53:20.445	-0.0981	-1.0010	0.0249	-0.3052	-1.5869	0.9155	-88.5333	6.0425	-85.6604	36.64
0x50	 13:53:20.455	-0.0981	-1.0010	0.0249	-0.3662	0.0000	1.0986	-88.5388	6.0480	-85.6604	36.63
0x50	 13:53:20.465	-0.1050	-1.0000	0.0264	-0.3662	0.0000	1.0986	-88.5443	6.0535	-85.6604	36.63
0x50	 13:53:20.475	-0.1050	-1.0000	0.0264	0.0000	0.0000	0.9766	-88.5388	6.0590	-85.6604	36.64
0x50	 13:53:20.485	-0.1074	-0.9980	0.0337	0.0000	0.0000	0.9766	-88.5388	6.0699	-85.6604	36.64
0x50	 13:53:20.495	-0.1074	-0.9980	0.0337	0.0000	-0.6714	0.5493	-88.5333	6.0754	-85.6494	36.64
0x50	 13:53:20.505	-0.1055	-1.0005	0.0327	0.0000	-0.6714	0.5493	-88.5278	6.0809	-85.6439	36.64
0x50	 13:53:20.515	-0.1055	-1.0005	0.0327	-0.1831	-1.7090	0.0000	-88.5278	6.0809	-85.6274	36.63
0x50	 13:53:20.551	-0.0947	-1.0034	0.0269	-0.1831	-1.7090	0.0000	-88.5223	6.0809	-85.6110	36.63
0x50	 13:53:20.551	-0.0947	-1.0034	0.0269	-0.2441	-0.5493	0.0000	-88.5223	6.0754	-85.6055	36.64
0x50	 13:53:20.551	-0.1045	-1.0010	0.0303	-0.2441	-0.5493	0.0000	-88.5223	6.0645	-85.6000	36.64
0x50	 13:53:20.555	-0.1045	-1.0010	0.0303	0.0000	0.3662	0.0000	-88.5223	6.0645	-85.6055	36.63
0x50	 13:53:20.565	-0.1079	-0.9971	0.0352	0.0000	0.3662	0.0000	-88.5223	6.0645	-85.6055	36.63
0x50	 13:53:20.575	-0.1079	-0.9971	0.0352	0.0000	0.0000	-0.1831	-88.5168	6.0645	-85.6055	36.64
0x50	 13:53:20.585	-0.1035	-0.9985	0.0322	0.0000	0.0000	-0.1831	-88.5114	6.0645	-85.6055	36.64
0x50	 13:53:20.595	-0.1035	-0.9985	0.0322	0.0000	-0.2441	-0.3662	-88.5059	6.0590	-85.6055	36.63
0x50	 13:53:20.605	-0.1035	-1.0024	0.0293	0.0000	-0.2441	-0.3662	-88.5004	6.0535	-85.6000	36.63
0x50	 13:53:20.615	-0.1035	-1.0024	0.0293	0.0000	0.3052	-0.1831	-88.5004	6.0480	-85.6055	36.63
0x50	 13:53:20.625	-0.1050	-0.9995	0.0293	0.0000	0.3052	-0.1831	-88.5004	6.0480	-85.6110	36.63
0x50	 13:53:20.636	-0.1050	-0.9995	0.0293	0.3662	0.5493	0.0000	-88.4949	6.0480	-85.6165	36.64
0x50	 13:53:20.645	-0.1030	-1.0024	0.0278	0.3662	0.5493	0.0000	-88.4894	6.0425	-85.6219	36.64
0x50	 13:53:20.655	-0.1030	-1.0024	0.0278	0.4883	0.8545	0.1831	-88.4839	6.0425	-85.6274	36.63
0x50	 13:53:20.665	-0.1035	-0.9995	0.0283	0.4883	0.8545	0.1831	-88.4784	6.0480	-85.6384	36.63
0x50	 13:53:20.675	-0.1035	-0.9995	0.0283	0.3662	1.4648	0.3662	-88.4784	6.0480	-85.6494	36.64
0x50	 13:53:20.685	-0.1060	-0.9932	0.0278	0.3662	1.4648	0.3662	-88.4729	6.0535	-85.6659	36.64
0x50	 13:53:20.695	-0.1060	-0.9932	0.0278	0.1831	1.3428	0.4272	-88.4729	6.0535	-85.6769	36.64
0x50	 13:53:20.705	-0.1025	-0.9961	0.0234	0.1831	1.3428	0.4272	-88.4729	6.0590	-85.6934	36.64
0x50	 13:53:20.715	-0.1025	-0.9961	0.0234	0.3052	0.9766	0.3662	-88.4729	6.0645	-85.7043	36.62
0x50	 13:53:20.725	-0.1074	-1.0063	0.0210	0.3052	0.9766	0.3662	-88.4729	6.0645	-85.7098	36.62
0x50	 13:53:20.735	-0.1074	-1.0063	0.0210	0.4272	1.5869	0.0000	-88.4729	6.0645	-85.7263	36.64
0x50	 13:53:20.771	-0.1123	-1.0034	0.0288	0.4272	1.5869	0.0000	-88.4729	6.0645	-85.7428	36.64
0x50	 13:53:20.771	-0.1123	-1.0034	0.0288	0.1831	0.3662	-0.4883	-88.4674	6.0645	-85.7483	36.63
0x50	 13:53:20.771	-0.1074	-0.9976	0.0273	0.1831	0.3662	-0.4883	-88.4674	6.0645	-85.7538	36.63
0x50	 13:53:20.775	-0.1074	-0.9976	0.0273	-0.2441	-0.1831	-0.9155	-88.4674	6.0535	-85.7483	36.64
0x50	 13:53:20.785	-0.1094	-0.9932	0.0254	-0.2441	-0.1831	-0.9155	-88.4729	6.0480	-85.7483	36.64
0x50	 13:53:20.795	-0.1094	-0.9932	0.0254	-0.2441	-0.7935	-0.7324	-88.4729	6.0425	-85.7428	36.63
0x50	 13:53:20.805	-0.1089	-0.9932	0.0259	-0.2441	-0.7935	-0.7324	-88.4729	6.0370	-85.7318	36.63
0x50	 13:53:20.815	-0.1089	-0.9932	0.0259	-0.3052	-0.8545	-0.6714	-88.4784	6.0315	-85.7263	36.62
0x50	 13:53:20.825	-0.1099	-0.9956	0.0254	-0.3052	-0.8545	-0.6714	-88.4784	6.0260	-85.7153	36.62
0x50	 13:53:20.835	-0.1099	-0.9956	0.0254	-0.3662	0.0000	-0.4883	-88.4839	6.0260	-85.7153	36.64
0x50	 13:53:20.845	-0.1133	-0.9976	0.0254	-0.3662	0.0000	-0.4883	-88.4894	6.0205	-85.7153	36.64
0x50	 13:53:20.855	-0.1133	-0.9976	0.0254	-0.2441	-0.4272	0.0000	-88.4894	6.0260	-85.7098	36.64
0x50	 13:53:20.865	-0.1016	-1.0005	0.0249	-0.2441	-0.4272	0.0000	-88.4949	6.0315	-85.7098	36.64
0x50	 13:53:20.876	-0.1016	-1.0005	0.0249	-0.2441	-0.7935	0.4272	-88.4949	6.0315	-85.6989	36.65
0x50	 13:53:20.886	-0.1055	-1.0039	0.0220	-0.2441	-0.7935	0.4272	-88.5004	6.0370	-85.6934	36.65
0x50	 13:53:20.896	-0.1055	-1.0039	0.0220	-0.7324	0.6714	0.9766	-88.5059	6.0425	-85.6989	36.65
0x50	 13:53:20.929	-0.1094	-1.0015	0.0234	-0.7324	0.6714	0.9766	-88.5168	6.0535	-85.7043	36.65
0x50	 13:53:20.929	-0.1094	-1.0015	0.0234	-0.6714	0.1831	0.7935	-88.5278	6.0645	-85.7043	36.63
0x50	 13:53:20.929	-0.1045	-0.9927	0.0239	-0.6714	0.1831	0.7935	-88.5333	6.0699	-85.7098	36.63
0x50	 13:53:20.936	-0.1045	-0.9927	0.0239	-0.7935	-0.1831	0.5493	-88.5443	6.0754	-85.7043	36.64
0x50	 13:53:20.946	-0.1089	-0.9966	0.0234	-0.7935	-0.1831	0.5493	-88.5498	6.0809	-85.7043	36.64
0x50	 13:53:20.957	-0.1089	-0.9966	0.0234	-0.7935	-0.3662	0.3662	-88.5608	6.0864	-85.6989	36.63
0x50	 13:53:20.966	-0.1035	-1.0024	0.0234	-0.7935	-0.3662	0.3662	-88.5663	6.0919	-85.6989	36.63
0x50	 13:53:20.976	-0.1035	-1.0024	0.0234	-0.6104	-0.8545	0.0000	-88.5718	6.0919	-85.6879	36.63
0x50	 13:53:20.986	-0.1011	-1.0024	0.0239	-0.6104	-0.8545	0.0000	-88.5828	6.0864	-85.6769	36.63
0x50	 13:53:20.996	-0.1011	-1.0024	0.0239	-0.8545	-0.4883	0.0000	-88.5883	6.0864	-85.6714	36.64
0x50	 13:53:21.005	-0.1089	-1.0015	0.0273	-0.8545	-0.4883	0.0000	-88.5992	6.0809	-85.6714	36.64
0x50	 13:53:21.015	-0.1089	-1.0015	0.0273	-1.2817	-0.3662	0.2441	-88.6102	6.0864	-85.6659	36.62
0x50	 13:53:21.026	-0.1108	-0.9995	0.0259	-1.2817	-0.3662	0.2441	-88.6157	6.0864	-85.6604	36.62
0x50	 13:53:21.036	-0.1108	-0.9995	0.0259	-1.2817	-1.1597	0.0000	-88.6267	6.0919	-85.6494	36.64
0x50	 13:53:21.046	-0.1050	-1.0010	0.0229	-1.2817	-1.1597	0.0000	-88.6377	6.0919	-85.6384	36.64
0x50	 13:53:21.056	-0.1050	-1.0010	0.0229	-1.0986	-1.1597	0.1831	-88.6487	6.0919	-85.6274	36.63
0x50	 13:53:21.066	-0.1104	-1.0020	0.0239	-1.0986	-1.1597	0.1831	-88.6597	6.0919	-85.6165	36.63
0x50	 13:53:21.076	-0.1104	-1.0020	0.0239	-0.9155	-0.6104	0.4883	-88.6652	6.0974	-85.6110	36.64
0x50	 13:53:21.086	-0.1123	-1.0034	0.0273	-0.9155	-0.6104	0.4883	-88.6761	6.1084	-85.6000	36.64
0x50	 13:53:21.096	-0.1123	-1.0034	0.0273	-0.7935	-1.0986	0.6104	-88.6816	6.1139	-85.5890	36.65
0x50	 13:53:21.106	-0.1064	-1.0015	0.0249	-0.7935	-1.0986	0.6104	-88.6816	6.1249	-85.5780	36.65
0x50	 13:53:21.141	-0.1064	-1.0015	0.0249	-0.7935	-1.0986	0.7324	-88.6871	6.1304	-85.5670	36.63
0x50	 13:53:21.141	-0.1089	-1.0010	0.0220	-0.7935	-1.0986	0.7324	-88.6926	6.1359	-85.5560	36.63
0x50	 13:53:21.141	-0.1089	-1.0010	0.0220	-0.7324	-0.5493	0.9155	-88.7036	6.1469	-85.5505	36.64
0x50	 13:53:21.146	-0.1069	-0.9995	0.0220	-0.7324	-0.5493	0.9155	-88.7091	6.1523	-85.5450	36.64
0x50	 13:53:21.156	-0.1069	-0.9995	0.0220	-0.4272	0.0000	0.9766	-88.7146	6.1633	-85.5450	36.62
0x50	 13:53:21.166	-0.1133	-1.0000	0.0239	-0.4272	0.0000	0.9766	-88.7201	6.1743	-85.5450	36.62
0x50	 13:53:21.176	-0.1133	-1.0000	0.0239	-0.3052	-0.6714	1.2207	-88.7201	6.1853	-85.5396	36.64
0x50	 13:53:21.186	-0.1084	-0.9990	0.0229	-0.3052	-0.6714	1.2207	-88.7201	6.2018	-85.5341	36.64
0x50	 13:53:21.196	-0.1084	-0.9990	0.0229	-0.4883	-1.4038	1.2207	-88.7256	6.2128	-85.5176	36.63
0x50	 13:53:21.205	-0.1118	-1.0000	0.0200	-0.4883	-1.4038	1.2207	-88.7256	6.2238	-85.5011	36.63
0x50	 13:53:21.216	-0.1118	-1.0000	0.0200	-0.7324	-1.2817	0.9155	-88.7311	6.2347	-85.4901	36.64
0x50	 13:53:21.226	-0.1128	-1.0010	0.0171	-0.7324	-1.2817	0.9155	-88.7421	6.2457	-85.4791	36.64
0x50	 13:53:21.235	-0.1128	-1.0010	0.0171	-0.7935	-2.0752	0.5493	-88.7476	6.2512	-85.4572	36.63
0x50	 13:53:21.245	-0.1011	-1.0015	0.0181	-0.7935	-2.0752	0.5493	-88.7585	6.2622	-85.4352	36.63
0x50	 13:53:21.256	-0.1011	-1.0015	0.0181	-0.6104	-1.7700	0.3662	-88.7640	6.2567	-85.4187	36.63
0x50	 13:53:21.266	-0.1069	-1.0005	0.0195	-0.6104	-1.7700	0.3662	-88.7695	6.2567	-85.3967	36.63
0x50	 13:53:21.276	-0.1069	-1.0005	0.0195	-0.7324	-0.5493	0.5493	-88.7750	6.2622	-85.3912	36.64
0x50	 13:53:21.286	-0.1196	-0.9985	0.0176	-0.7324	-0.5493	0.5493	-88.7860	6.2622	-85.3857	36.64
0x50	 13:53:21.296	-0.1196	-0.9985	0.0176	-0.7324	-1.7090	0.8545	-88.7915	6.2787	-85.3693	36.64
0x50	 13:53:21.306	-0.1201	-0.9985	0.0181	-0.7324	-1.7090	0.8545	-88.7970	6.2897	-85.3528	36.64
0x50	 13:53:21.316	-0.1201	-0.9985	0.0181	-0.3662	-3.4790	0.4272	-88.8025	6.3007	-85.3198	36.64
